V1	43631917	01-12-2021 15:56:02	0.0	0.0	0.0	anonimo
V2	43631917	01-12-2021 16:34:19	642.3728813559322	115.62711864406779	758.0	anonimo
V3	21548715	07-12-2021 10:40:55	216.10169491525423	38.89830508474576	255.0	anonimo
V4	65875415	07-12-2021 10:45:50	216.10169491525423	38.89830508474576	255.0	anonimo
V5	80812600	21-12-2021 09:01:40	0.0	0.0	0.0	anonimo
V6	76481970	21-12-2021 09:11:40	376.271186440678	67.72881355932203	444.0	anonimo
V7	4124512	21-12-2021 09:14:35	564.4067796610169	101.59322033898304	666.0	anonimo
V8	532532662	21-12-2021 09:18:31	0.0	0.0	0.0	anonimo
V9	76481970	21-12-2021 09:19:09	3241.5254237288136	583.4745762711864	3825.0	anonimo
V10	76481970	21-12-2021 09:19:30	3241.5254237288136	583.4745762711864	3825.0	anonimo
V11	76481970	21-12-2021 09:19:48	0.0	0.0	0.0	anonimo
V12	76481970	21-12-2021 09:20:50	376.271186440678	67.72881355932203	444.0	anonimo
V13	76481970	21-12-2021 09:26:19	188.135593220339	33.86440677966102	222.0	anonimo
V14		21-12-2021 09:51:28	0.0	0.0	0.0	anonimo
V15	76481970	21-12-2021 10:33:39	0.0	0.0	0.0	anonimo
V16	76481970	21-12-2021 10:37:21	0.0	0.0	0.0	anonimo
V17	76481970	21-12-2021 11:20:05	0.0	0.0	0.0	anonimo
V18	76481970	21-12-2021 11:20:35	0.0	0.0	0.0	anonimo
V19	76481970	21-12-2021 12:04:54	0.0	0.0	0.0	anonimo
V20	76481970	21-12-2021 12:05:49	0.0	0.0	0.0	anonimo
V21	4215	21-12-2021 12:06:47	0.0	0.0	0.0	anonimo
V22	76481970	21-12-2021 12:44:15	0.0	0.0	0.0	anonimo
V23	12577236	21-12-2021 13:21:15	0.0	0.0	0.0	anonimo
